Coin Name,Price,24H Change,Market Cap,Timestamp
"CoinMarketCap 20 Index DTF
CMC20
Buy",$125.49,0.84%,"$12,799,074",2026-06-11 10:07:48
"Bitcoin
BTC
Buy","$62,518.91",0.36%,"$1,252,954,113,828",2026-06-11 10:07:49
"Ethereum
ETH
Buy","$1,649.66",0.32%,"$199,088,892,879",2026-06-11 10:07:49
"Tether
USDT
Buy",$0.9987,0.01%,"$186,704,599,997",2026-06-11 10:07:50
"BNB
BNB
Buy",$593.73,0.05%,"$80,026,269,125",2026-06-11 10:07:51
,,,,2026-06-11 10:07:51
,,,,2026-06-11 10:07:52
,,,,2026-06-11 10:07:52
,,,,2026-06-11 10:07:53
,,,,2026-06-11 10:07:54
